timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2023/03/08 20:05:10.448,269,STEP2_/start,302,Found,Thread Group 1-3,text,true,,1131,1822,5,5,https://challenge.flood.io/start,269,0,0
2023/03/08 20:05:11.920,234,STEPDONE_/done,200,OK,Thread Group 1-5,text,true,,1960,1548,5,5,https://challenge.flood.io/done,233,0,0
2023/03/08 20:05:12.005,241,openStartPage_/,200,OK,Thread Group 1-4,text,true,,3222,696,5,5,https://challenge.flood.io/,240,0,0
2023/03/08 20:05:12.182,252,STEP2_/step/2,200,OK,Thread Group 1-3,text,true,,2419,1451,5,5,https://challenge.flood.io/step/2,246,0,0
2023/03/08 20:05:12.164,252,STEP3_/step/3,200,OK,Thread Group 1-2,text,true,,3028,1457,5,5,https://challenge.flood.io/step/3,252,0,0
2023/03/08 20:05:12.251,254,STEP2_/start,302,Found,Thread Group 1-4,text,true,,1131,1826,5,5,https://challenge.flood.io/start,254,0,0
2023/03/08 20:05:12.222,278,STEP3_/step/3,200,OK,Thread Group 1-1,text,true,,3033,1457,5,5,https://challenge.flood.io/step/3,277,0,0
2023/03/08 20:05:12.442,240,STEP3_/start,302,Found,Thread Group 1-3,text,true,,1131,1851,5,5,https://challenge.flood.io/start,239,0,0
2023/03/08 20:05:12.491,251,STEP4_/start,302,Found,Thread Group 1-2,text,true,,1131,2090,5,5,https://challenge.flood.io/start,250,0,0
2023/03/08 20:05:12.515,246,STEP4_/start,302,Found,Thread Group 1-1,text,true,,1131,2086,5,5,https://challenge.flood.io/start,245,0,0
2023/03/08 20:05:13.543,300,openStartPage_/,200,OK,Thread Group 1-5,text,true,,3223,696,5,5,https://challenge.flood.io/,299,0,0
2023/03/08 20:05:13.807,261,STEP2_/step/2,200,OK,Thread Group 1-4,text,true,,2418,1451,5,5,https://challenge.flood.io/step/2,260,0,0
2023/03/08 20:05:13.849,253,STEP2_/start,302,Found,Thread Group 1-5,text,true,,1131,1824,5,5,https://challenge.flood.io/start,253,0,0
2023/03/08 20:05:14.071,237,STEP3_/start,302,Found,Thread Group 1-4,text,true,,1131,1855,5,5,https://challenge.flood.io/start,237,0,0
2023/03/08 20:05:14.029,262,STEP3_/step/3,200,OK,Thread Group 1-3,text,true,,3018,1457,5,5,https://challenge.flood.io/step/3,262,0,0
2023/03/08 20:05:14.106,239,STEP4_/step/4,200,OK,Thread Group 1-1,text,true,,2045,1537,5,5,https://challenge.flood.io/step/4,239,0,0
2023/03/08 20:05:14.176,233,STEP4_/step/4,200,OK,Thread Group 1-2,text,true,,2045,1537,5,5,https://challenge.flood.io/step/4,233,0,0
2023/03/08 20:05:14.322,260,STEP4_/start,302,Found,Thread Group 1-3,text,true,,1131,2086,5,5,https://challenge.flood.io/start,260,0,0
2023/03/08 20:05:14.350,232,STEP5_/start,302,Found,Thread Group 1-1,text,true,,1131,2263,5,5,https://challenge.flood.io/start,232,0,0
2023/03/08 20:05:14.411,249,STEP5_/start,302,Found,Thread Group 1-2,text,true,,1131,2267,5,5,https://challenge.flood.io/start,249,0,0
2023/03/08 20:05:14.587,243,STEP5_/step/5,200,OK,Thread Group 1-1,text,true,,2156,1537,5,5,https://challenge.flood.io/step/5,242,0,0
2023/03/08 20:05:14.669,238,STEP5_/step/5,200,OK,Thread Group 1-2,text,true,,2157,1537,5,5,https://challenge.flood.io/step/5,238,0,0
2023/03/08 20:05:15.595,243,STEP2_/step/2,200,OK,Thread Group 1-5,text,true,,2423,1451,5,5,https://challenge.flood.io/step/2,242,0,0
2023/03/08 20:05:15.673,242,STEP3_/step/3,200,OK,Thread Group 1-4,text,true,,3024,1457,5,5,https://challenge.flood.io/step/3,242,0,0
2023/03/08 20:05:15.845,235,STEP3_/start,302,Found,Thread Group 1-5,text,true,,1131,1853,5,5,https://challenge.flood.io/start,235,0,0
2023/03/08 20:05:15.993,237,STEP4_/start,302,Found,Thread Group 1-4,text,true,,1131,2090,4,4,https://challenge.flood.io/start,237,0,0
2023/03/08 20:05:16.020,259,STEP4_/step/4,200,OK,Thread Group 1-3,text,true,,2047,1537,3,3,https://challenge.flood.io/step/4,258,0,0
2023/03/08 20:05:16.236,231,STEP5_/code,200,OK,Thread Group 1-1,text,true,,1079,1367,3,3,https://challenge.flood.io/code,231,0,0
2023/03/08 20:05:16.281,237,STEP5_/start,302,Found,Thread Group 1-3,text,true,,1131,2263,3,3,https://challenge.flood.io/start,237,0,0
2023/03/08 20:05:16.352,284,STEP5_/code,200,OK,Thread Group 1-2,text,true,,1079,1367,3,3,https://challenge.flood.io/code,284,0,0
2023/03/08 20:05:16.470,238,STEPDONE_/start,302,Found,Thread Group 1-1,text,true,,1131,1963,3,3,https://challenge.flood.io/start,238,0,0
2023/03/08 20:05:16.520,244,STEP5_/step/5,200,OK,Thread Group 1-3,text,true,,2154,1537,2,2,https://challenge.flood.io/step/5,243,0,0
2023/03/08 20:05:16.641,233,STEPDONE_/start,302,Found,Thread Group 1-2,text,true,,1131,1967,1,1,https://challenge.flood.io/start,233,0,0
